Estad�stica de Defunciones seg�n la Causa de Muerte,
Suicidios. Resultados nacionales,
Suicidios por mes de defunci�n, sexo y edad.
Unidades: suicidios,
,
,Todas las edades
enero,
    Ambos sexos,270
febrero,
    Ambos sexos,227
marzo,
    Ambos sexos,293
abril,
    Ambos sexos,289
mayo,
    Ambos sexos,313
junio,
    Ambos sexos,268
julio,
    Ambos sexos,280
agosto,
    Ambos sexos,273
septiembre,
    Ambos sexos,265
octubre,
    Ambos sexos,240
noviembre,
    Ambos sexos,202
diciembre,
    Ambos sexos,238
Notas:,
Fuente: Instituto Nacional de Estad�stica,
