,,,,,,MAYO 2005,,,,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
" DEMANDANTES DE EMPLEO POR SEXO, EDAD Y SECTORES ECONÓMICOS",,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COLECTIVOS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
TOTAL,2.918.277,,534.781,,110.395,,,2.273.101,,268.573,,2.004.528,
,,,,,,,,,,,,,
SEXO:,,,,,,,,,,,,,
    HOMBRES,1.128.251,,232.290,,58.262,,,837.699,,74.701,,762.998,
    MUJERES,1.790.026,,302.491,,52.133,,,1.435.402,,193.872,,1.241.530,
,,,,,,,,,,,,,
MENORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,161.209,,27.740,,5.948,,,127.521,,12.555,,114.966,
    MUJERES,197.196,,32.260,,6.543,,,158.393,,22.447,,135.946,
    TOTAL,358.405,,60.000,,12.491,,,285.914,,35.002,,250.912,
,,,,,,,,,,,,,
MAYORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,967.042,,204.550,,52.314,,,710.178,,62.146,,648.032,
    MUJERES,1.592.830,,270.231,,45.590,,,1.277.009,,171.425,,1.105.584,
    TOTAL,2.559.872,,474.781,,97.904,,,1.987.187,,233.571,,1.753.616,
,,,,,,,,,,,,,
SECTORES:,,,,,,,,,,,,,
    AGRICULTURA,290.181,,81.244,,7.114,,,201.823,,140.252,,61.571,
    INDUSTRIA,381.231,,70.381,,15.848,,,295.002,,9.288,,285.714,
    CONSTRUCCIÓN,286.406,,43.430,,12.434,,,230.542,,20.001,,210.541,
    SERVICIOS,1.673.565,,323.492,,61.923,,,1.288.150,,65.223,,1.222.927,
    SIN EMPLEO ANTERIOR ,286.894,,16.234,,13.076,,,257.584,,33.809,,223.775,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 DEMANDANTES DE EMPLEO POR COMUNIDADES AUTÓNOMAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COMUNIDADES AUTÓNOMAS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
ANDALUCÍA,831.048,,156.117,,30.711,,,644.220,,184.659,,459.561,
ARAGÓN,57.362,,14.933,,1.951,,,40.478,,2.787,,37.691,
ASTURIAS,70.575,,12.233,,3.722,,,54.620,,2.426,,52.194,
ILLES BALEARS,40.270,,10.044,,1.436,,,28.790,,531,,28.259,
CANARIAS,160.857,,18.168,,4.490,,,138.199,,4.756,,133.443,
CANTABRIA,29.117,,5.114,,1.089,,,22.914,,971,,21.943,
CASTILLA LA MANCHA,117.609,,19.294,,3.829,,,94.486,,3.080,,91.406,
CASTILLA LEÓN,146.794,,26.728,,4.563,,,115.503,,5.043,,110.460,
CATALUÑA,331.321,,62.830,,10.152,,,258.339,,4.653,,253.686,
COM. VALENCIANA,268.606,,55.399,,12.357,,,200.850,,7.765,,193.085,
EXTREMADURA,130.933,,22.084,,4.543,,,104.306,,27.638,,76.668,
GALICIA,209.024,,25.541,,14.193,,,169.290,,6.129,,163.161,
MADRID,293.532,,57.934,,8.204,,,227.394,,11.643,,215.751,
MURCIA,58.805,,14.082,,1.805,,,42.918,,1.453,,41.465,
NAVARRA,30.509,,8.955,,1.018,,,20.536,,599,,19.937,
PAÍS VASCO,109.001,,19.842,,5.270,,,83.889,,3.558,,80.331,
LA RIOJA,14.593,,3.483,,436,,,10.674,,373,,10.301,
CEUTA,9.342,,928,,141,,,8.273,,269,,8.004,
MELILLA,8.979,,1.072,,485,,,7.422,,240,,7.182,
,,,,,,,,,,,,,
TOTAL NACIONAL,2.918.277,,534.781,,110.395,,,2.273.101,,268.573,,2.004.528,
,,,,,,,,,,,,,
(*) Considerados parados por la EPA,,,,,,,,,,,,,
