,,,,,,MAYO 2005,,,,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
" DEMANDANTES DE EMPLEO POR SEXO, EDAD Y SECTORES ECONÓMICOS",,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COLECTIVOS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
TOTAL,3.093.929,,568.294,,92.036,,,2.433.599,,262.096,,2.171.503,
,,,,,,,,,,,,,
SEXO:,,,,,,,,,,,,,
    HOMBRES,1.238.752,,251.485,,51.478,,,935.789,,71.122,,864.667,
    MUJERES,1.855.177,,316.809,,40.558,,,1.497.810,,190.974,,1.306.836,
,,,,,,,,,,,,,
MENORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,183.905,,32.117,,3.187,,,148.601,,12.999,,135.602,
    MUJERES,216.376,,35.945,,3.571,,,176.860,,23.859,,153.001,
    TOTAL,400.281,,68.062,,6.758,,,325.461,,36.858,,288.603,
,,,,,,,,,,,,,
MAYORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,1.054.847,,219.368,,48.291,,,787.188,,58.123,,729.065,
    MUJERES,1.638.801,,280.864,,36.987,,,1.320.950,,167.115,,1.153.835,
    TOTAL,2.693.648,,500.232,,85.278,,,2.108.138,,225.238,,1.882.900,
,,,,,,,,,,,,,
SECTORES:,,,,,,,,,,,,,
    AGRICULTURA,275.751,,74.734,,6.121,,,194.896,,128.495,,66.401,
    INDUSTRIA,401.167,,71.463,,13.961,,,315.743,,10.536,,305.207,
    CONSTRUCCIÓN,318.394,,46.108,,11.719,,,260.567,,19.406,,241.161,
    SERVICIOS,1.806.170,,355.259,,52.315,,,1.398.596,,69.455,,1.329.141,
    SIN EMPLEO ANTERIOR ,292.447,,20.730,,7.920,,,263.797,,34.204,,229.593,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 DEMANDANTES DE EMPLEO POR COMUNIDADES AUTÓNOMAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COMUNIDADES AUTÓNOMAS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
ANDALUCÍA,849.648,,164.256,,24.019,,,661.373,,170.793,,490.580,
ARAGÓN,63.163,,15.277,,1.933,,,45.953,,2.787,,43.166,
ASTURIAS,78.368,,12.764,,2.866,,,62.738,,2.785,,59.953,
ILLES BALEARS,82.429,,31.623,,2.074,,,48.732,,696,,48.036,
CANARIAS,157.288,,15.587,,3.928,,,137.773,,4.126,,133.647,
CANTABRIA,33.184,,5.397,,1.098,,,26.689,,962,,25.727,
CASTILLA LA MANCHA,125.236,,19.217,,4.044,,,101.975,,3.173,,98.802,
CASTILLA LEÓN,157.500,,26.426,,4.238,,,126.836,,4.963,,121.873,
CATALUÑA,352.340,,64.972,,11.830,,,275.538,,5.634,,269.904,
COM. VALENCIANA,272.738,,47.503,,8.435,,,216.800,,8.131,,208.669,
EXTREMADURA,138.389,,25.337,,4.372,,,108.680,,29.687,,78.993,
GALICIA,224.276,,28.537,,7.014,,,188.725,,7.324,,181.401,
MADRID,309.202,,61.989,,8.592,,,238.621,,13.362,,225.259,
MURCIA,64.029,,13.702,,1.915,,,48.412,,1.828,,46.584,
NAVARRA,34.572,,9.558,,921,,,24.093,,645,,23.448,
PAÍS VASCO,118.704,,21.019,,3.860,,,93.825,,4.275,,89.550,
LA RIOJA,15.014,,3.328,,495,,,11.191,,387,,10.804,
CEUTA,8.915,,776,,137,,,8.002,,282,,7.720,
MELILLA,8.934,,1.026,,265,,,7.643,,256,,7.387,
,,,,,,,,,,,,,
TOTAL NACIONAL,3.093.929,,568.294,,92.036,,,2.433.599,,262.096,,2.171.503,
,,,,,,,,,,,,,
(*) Considerados parados por la EPA,,,,,,,,,,,,,
